method	repeat_name	value	XCI pattern
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	21	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	17	mosaic
mini	RP2	16	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	15	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	17	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	21	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	14	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	16	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	10	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	12	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	skewed
mini	ARHGAP6	NA	skewed
mini	RP2	15	skewed
mini	RP2	12	skewed
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	17	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	13	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	17	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	skewed
mini	ARHGAP6	15	skewed
mini	RP2	14	skewed
mini	RP2	13	skewed
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	19	mosaic
mini	RP2	16	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	18	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	17	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	18	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	13	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	13	mosaic
mini	RP2	14	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	11	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	18	mosaic
mini	RP2	17	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	12	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	16	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	NA	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	13	mosaic
mini	RP2	12	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	15	skewed
mini	ARHGAP6	14	skewed
mini	RP2	14	skewed
mini	RP2	13	skewed
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	16	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	22	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	13	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	NA	extremely skewed
mini	ARHGAP6	NA	extremely skewed
mini	RP2	13	extremely skewed
mini	RP2	9	extremely skewed
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	17	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	17	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	16	skewed
mini	ARHGAP6	14	skewed
mini	RP2	15	skewed
mini	RP2	14	skewed
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	16	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	skewed
mini	ARHGAP6	15	skewed
mini	RP2	16	skewed
mini	RP2	14	skewed
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	18	skewed
mini	ARHGAP6	14	skewed
mini	RP2	15	skewed
mini	RP2	13	skewed
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	18	mosaic
mini	RP2	17	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	17	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	13	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	21	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	14	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	16	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	14	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	16	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	17	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	11	mosaic
mini	RP2	14	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	19	skewed
mini	ARHGAP6	14	skewed
mini	RP2	17	skewed
mini	RP2	12	skewed
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	NA	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	17	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	17	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	16	mosaic
mini	RP2	16	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	13	mosaic
mini	ARHGAP6	14	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	14	mosaic
mini	RP2	9	mosaic
mini	ARHGAP6	18	mosaic
mini	ARHGAP6	NA	mosaic
mini	RP2	15	mosaic
mini	RP2	14	mosaic
mini	ARHGAP6	15	mosaic
mini	ARHGAP6	14	mosaic
mini	RP2	15	mosaic
mini	RP2	12	mosaic
mini	ARHGAP6	20	mosaic
mini	ARHGAP6	17	mosaic
mini	RP2	17	mosaic
mini	RP2	11	mosaic
mini	ARHGAP6	15	skewed
mini	ARHGAP6	14	skewed
mini	RP2	16	skewed
mini	RP2	12	skewed
mini	ARHGAP6	NA	extremely skewed
mini	ARHGAP6	NA	extremely skewed
mini	RP2	15	extremely skewed
mini	RP2	14	extremely skewed
mini	ARHGAP6	16	mosaic
mini	ARHGAP6	15	mosaic
mini	RP2	19	mosaic
mini	RP2	15	mosaic
mini	ARHGAP6	19	mosaic
mini	ARHGAP6	18	mosaic
mini	RP2	14	mosaic
mini	RP2	10	mosaic
mini	ARHGAP6	18	extremely skewed
mini	ARHGAP6	17	extremely skewed
